// Negative examples, including created ones.
advisedby(person68, person68). % Provenance: a randomly generated negative example.
advisedby(person68, person242). % Provenance: a randomly generated negative example.
advisedby(person68, person82). % Provenance: a randomly generated negative example.
advisedby(person68, person155). % Provenance: a randomly generated negative example.
advisedby(person68, person306). % Provenance: a randomly generated negative example.
advisedby(person68, person342). % Provenance: a randomly generated negative example.
advisedby(person68, person23). % Provenance: a randomly generated negative example.
advisedby(person68, person96). % Provenance: a randomly generated negative example.
advisedby(person68, person157). % Provenance: a randomly generated negative example.
advisedby(person68, person166). % Provenance: a randomly generated negative example.
advisedby(person68, person129). % Provenance: a randomly generated negative example.
advisedby(person68, person90). % Provenance: a randomly generated negative example.
advisedby(person68, person35). % Provenance: a randomly generated negative example.
advisedby(person68, person84). % Provenance: a randomly generated negative example.
advisedby(person68, person75). % Provenance: a randomly generated negative example.
advisedby(person68, person297). % Provenance: a randomly generated negative example.
advisedby(person68, person77). % Provenance: a randomly generated negative example.
advisedby(person68, person362). % Provenance: a randomly generated negative example.
advisedby(person68, person261). % Provenance: a randomly generated negative example.
advisedby(person68, person218). % Provenance: a randomly generated negative example.
advisedby(person68, person158). % Provenance: a randomly generated negative example.
advisedby(person68, person222). % Provenance: a randomly generated negative example.
advisedby(person68, person416). % Provenance: a randomly generated negative example.
advisedby(person68, person57). % Provenance: a randomly generated negative example.
advisedby(person68, person315). % Provenance: a randomly generated negative example.
advisedby(person68, person368). % Provenance: a randomly generated negative example.
advisedby(person68, person103). % Provenance: a randomly generated negative example.
advisedby(person68, person283). % Provenance: a randomly generated negative example.
advisedby(person68, person124). % Provenance: a randomly generated negative example.
advisedby(person68, person354). % Provenance: a randomly generated negative example.
advisedby(person68, person38). % Provenance: a randomly generated negative example.
advisedby(person68, person187). % Provenance: a randomly generated negative example.
advisedby(person68, person248). % Provenance: a randomly generated negative example.
advisedby(person68, person181). % Provenance: a randomly generated negative example.
advisedby(person68, person326). % Provenance: a randomly generated negative example.
advisedby(person68, person204). % Provenance: a randomly generated negative example.
advisedby(person68, person159). % Provenance: a randomly generated negative example.
advisedby(person68, person175). % Provenance: a randomly generated negative example.
advisedby(person68, person303). % Provenance: a randomly generated negative example.
advisedby(person68, person188). % Provenance: a randomly generated negative example.
advisedby(person68, person126). % Provenance: a randomly generated negative example.
advisedby(person68, person364). % Provenance: a randomly generated negative example.
advisedby(person68, person223). % Provenance: a randomly generated negative example.
advisedby(person68, person350). % Provenance: a randomly generated negative example.
advisedby(person68, person279). % Provenance: a randomly generated negative example.
advisedby(person68, person61). % Provenance: a randomly generated negative example.
advisedby(person68, person327). % Provenance: a randomly generated negative example.
advisedby(person68, person403). % Provenance: a randomly generated negative example.
advisedby(person68, person27). % Provenance: a randomly generated negative example.
advisedby(person68, person207). % Provenance: a randomly generated negative example.
advisedby(person68, person370). % Provenance: a randomly generated negative example.
